Kolejne segmenty, Siła nośna [N], Ciężar skrzydła [N]
1.000000,737.900909,24.525000
2.000000,736.332435,24.525000
3.000000,733.183566,24.525000
4.000000,728.430002,24.525000
5.000000,722.034099,24.525000
6.000000,713.943315,24.525000
7.000000,704.087902,24.525000
8.000000,692.377589,24.525000
9.000000,678.696865,24.525000
10.000000,662.898191,24.525000
11.000000,644.792076,24.525000
12.000000,624.132156,24.525000
13.000000,600.591899,24.525000
14.000000,573.726452,24.525000
15.000000,542.906084,24.525000
16.000000,507.189801,24.525000
17.000000,465.055044,24.525000
18.000000,413.703573,24.525000
19.000000,346.574409,24.525000
20.000000,210.180698,24.525000
