y [m], T_L [N], T_W_skrzydła [N], Mg [N*m], Ms [N*m]
0.000000,12038.737065,-490.500000,11548.237065,36039.866167,0.000000
0.363250,11300.836156,-465.975000,10834.861156,31994.606599,0.000000
0.726500,10564.503721,-441.450000,10123.053721,28208.195957,0.000000
1.089750,9831.320155,-416.925000,9414.395155,24679.777451,0.000000
1.453000,9102.890153,-392.400000,8710.490153,21407.915804,0.000000
1.816250,8380.856054,-367.875000,8012.981054,18390.585993,0.000000
2.179500,7666.912739,-343.350000,7323.562739,15625.156873,0.000000
2.542750,6962.824837,-318.825000,6643.999837,13108.368967,0.000000
2.906000,6270.447248,-294.300000,5976.147248,10836.305400,0.000000
3.269250,5591.750383,-269.775000,5321.975383,8804.354524,0.000000
3.632500,4928.852192,-245.250000,4683.602192,7007.162144,0.000000
3.995750,4284.060116,-220.725000,4063.335116,5438.570302,0.000000
4.359000,3659.927960,-196.200000,3463.727960,4091.538118,0.000000
4.722250,3059.336061,-171.675000,2887.661061,2958.037733,0.000000
5.085500,2485.609609,-147.150000,2338.459609,2028.914214,0.000000
5.448750,1942.703525,-122.625000,1820.078525,1293.690372,0.000000
5.812000,1435.513724,-98.100000,1337.413724,740.281489,0.000000
6.175250,970.458680,-73.575000,896.883680,354.547870,0.000000
6.538500,556.755107,-49.050000,507.705107,119.510078,0.000000
6.901750,210.180698,-24.525000,185.655698,13.649069,0.000000
7.265000,0.000000,0.000000,0.000000,0.000000,0.000000
